,educ,fdm01a,di01a,pa02a
733,HOCHSCHULREIFE,GRIECHENLAND,1400,STARK
734,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1150,WENIG
735,MITTLERE REIFE,DEUTSCHLAND,600,MITTEL
736,MITTLERE REIFE,DEUTSCHLAND,1800,SEHR STARK
737,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,STARK
738,HOCHSCHULREIFE,DEUTSCHLAND,600,WENIG
739,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,WENIG
740,HOCHSCHULREIFE,DEUTSCHLAND,800,WENIG
741,FACHHOCHSCHULREIFE,JUGOSLAWIEN,KEIN EINKOMMEN,MITTEL
742,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,UEBERHAUPT NICHT
743,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1500,MITTEL
744,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1400,STARK
745,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
746,MITTLERE REIFE,DEUTSCHLAND,1400,SEHR STARK
747,HOCHSCHULREIFE,DEUTSCHLAND,1400,WENIG
748,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
749,MITTLERE REIFE,DEUTSCHLAND,1200,STARK
750,HOCHSCHULREIFE,DEUTSCHLAND,1600,MITTEL
751,NOCH SCHUELER,DEUTSCHLAND,KEIN EINKOMMEN,UEBERHAUPT NICHT
752,OHNE ABSCHLUSS,MAROKKO,305,STARK
753,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1000,STARK
754,"VOLKS-,HAUPTSCHULE",SOWJETUNION,690,WENIG
755,HOCHSCHULREIFE,IRAN,700,WENIG
756,FACHHOCHSCHULREIFE,DEUTSCHLAND,1800,STARK
757,"VOLKS-,HAUPTSCHULE",TUERKEI,1300,SEHR STARK
758,HOCHSCHULREIFE,DEUTSCHLAND,1800,MITTEL
759,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1200,STARK
760,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
761,MITTLERE REIFE,DEUTSCHLAND,700,MITTEL
762,NOCH SCHUELER,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
763,FACHHOCHSCHULREIFE,DEUTSCHLAND,3000,STARK
764,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
765,HOCHSCHULREIFE,DEUTSCHLAND,450,STARK
766,MITTLERE REIFE,DEUTSCHLAND,2700,MITTEL
767,HOCHSCHULREIFE,JUGOSLAWIEN,VERWEIGERT,MITTEL
768,"VOLKS-,HAUPTSCHULE",POLEN,600,UEBERHAUPT NICHT
769,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1600,STARK
770,HOCHSCHULREIFE,DEUTSCHLAND,2000,SEHR STARK
771,HOCHSCHULREIFE,DEUTSCHLAND,2500,SEHR STARK
772,HOCHSCHULREIFE,DEUTSCHLAND,6000,MITTEL
773,HOCHSCHULREIFE,JUGOSLAWIEN,VERWEIGERT,MITTEL
774,MITTLERE REIFE,DEUTSCHLAND,3200,MITTEL
775,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,5000,STARK
776,HOCHSCHULREIFE,DEUTSCHLAND,450,STARK
777,HOCHSCHULREIFE,DEUTSCHLAND,5000,MITTEL
778,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,3500,MITTEL
779,FACHHOCHSCHULREIFE,DEUTSCHLAND,1200,MITTEL
780,MITTLERE REIFE,DEUTSCHLAND,5000,UEBERHAUPT NICHT
781,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,2300,MITTEL
782,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
783,FACHHOCHSCHULREIFE,DEUTSCHLAND,2700,STARK
784,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,DATENFEHLER,UEBERHAUPT NICHT
785,FACHHOCHSCHULREIFE,DEUTSCHLAND,2950,MITTEL
786,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
787,MITTLERE REIFE,SOWJETUNION,KEIN EINKOMMEN,MITTEL
788,MITTLERE REIFE,DEUTSCHLAND,700,STARK
789,HOCHSCHULREIFE,DEUTSCHLAND,400,MITTEL
790,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1000,STARK
791,MITTLERE REIFE,DEUTSCHLAND,2300,STARK
792,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
793,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
794,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,700,WENIG
795,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1300,MITTEL
796,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1050,WENIG
797,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2200,MITTEL
798,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
799,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
800,MITTLERE REIFE,DEUTSCHLAND,1000,SEHR STARK
801,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
802,MITTLERE REIFE,DEUTSCHLAND,800,MITTEL
803,HOCHSCHULREIFE,DEUTSCHLAND,1700,MITTEL
804,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
805,MITTLERE REIFE,DEUTSCHLAND,2000,STARK
806,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,1550,SEHR STARK
807,MITTLERE REIFE,DEUTSCHLAND,1500,STARK
808,MITTLERE REIFE,DEUTSCHLAND,1000,UEBERHAUPT NICHT
809,MITTLERE REIFE,DEUTSCHLAND,900,STARK
810,MITTLERE REIFE,DEUTSCHLAND,1050,MITTEL
811,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1800,STARK
812,FACHHOCHSCHULREIFE,POLEN,VERWEIGERT,UEBERHAUPT NICHT
813,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,680,MITTEL
814,MITTLERE REIFE,DEUTSCHLAND,800,MITTEL
815,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,1300,MITTEL
816,MITTLERE REIFE,DEUTSCHLAND,1550,STARK
817,HOCHSCHULREIFE,DEUTSCHLAND,3000,STARK
818,HOCHSCHULREIFE,DEUTSCHLAND,550,MITTEL
819,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
820,"VOLKS-,HAUPTSCHULE",WEISS NICHT,638,MITTEL
821,MITTLERE REIFE,DEUTSCHLAND,2200,MITTEL
822,MITTLERE REIFE,DEUTSCHLAND,2000,STARK
823,HOCHSCHULREIFE,DEUTSCHLAND,2500,SEHR STARK
824,HOCHSCHULREIFE,DEUTSCHLAND,2000,STARK
825,MITTLERE REIFE,DEUTSCHLAND,1220,MITTEL
826,HOCHSCHULREIFE,DEUTSCHLAND,2300,SEHR STARK
827,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1450,SEHR STARK
828,HOCHSCHULREIFE,DEUTSCHLAND,2800,SEHR STARK
829,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1700,WENIG
830,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,960,MITTEL
831,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,440,WENIG
832,HOCHSCHULREIFE,DEUTSCHLAND,3500,MITTEL
833,HOCHSCHULREIFE,BULGARIEN,450,MITTEL
834,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1650,WENIG
835,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,MITTEL
836,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
837,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,440,MITTEL
838,FACHHOCHSCHULREIFE,DEUTSCHLAND,1500,MITTEL
839,MITTLERE REIFE,DEUTSCHLAND,650,STARK
840,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,1200,WENIG
841,MITTLERE REIFE,DEUTSCHLAND,1300,MITTEL
842,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
843,HOCHSCHULREIFE,DEUTSCHLAND,1000,WENIG
844,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1950,SEHR STARK
845,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,700,WENIG
846,MITTLERE REIFE,DEUTSCHLAND,800,MITTEL
847,HOCHSCHULREIFE,DEUTSCHLAND,800,MITTEL
848,"VOLKS-,HAUPTSCHULE",WEISS NICHT,1189,STARK
849,MITTLERE REIFE,DEUTSCHLAND,478,MITTEL
850,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,450,WENIG
851,"VOLKS-,HAUPTSCHULE",TUERKEI,1000,WENIG
852,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,STARK
853,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1500,STARK
854,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
855,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,STARK
856,HOCHSCHULREIFE,DEUTSCHLAND,1200,SEHR STARK
857,HOCHSCHULREIFE,DEUTSCHLAND,3000,STARK
858,ANDERER ABSCHLUSS,POLEN,KEIN EINKOMMEN,UEBERHAUPT NICHT
859,MITTLERE REIFE,DEUTSCHLAND,360,MITTEL
860,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
861,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,960,STARK
862,HOCHSCHULREIFE,DEUTSCHLAND,1200,MITTEL
863,MITTLERE REIFE,DEUTSCHLAND,450,MITTEL
864,FACHHOCHSCHULREIFE,DEUTSCHLAND,2750,STARK
865,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
866,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
867,HOCHSCHULREIFE,DEUTSCHLAND,950,MITTEL
868,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2500,MITTEL
869,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,620,UEBERHAUPT NICHT
870,HOCHSCHULREIFE,DEUTSCHLAND,4000,STARK
871,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,WENIG
872,MITTLERE REIFE,DEUTSCHLAND,800,STARK
873,MITTLERE REIFE,TUERKEI,2200,STARK
874,MITTLERE REIFE,DEUTSCHLAND,2300,STARK
875,MITTLERE REIFE,SOWJETUNION,650,MITTEL
876,MITTLERE REIFE,DEUTSCHLAND,450,MITTEL
877,HOCHSCHULREIFE,FRANKREICH,VERWEIGERT,MITTEL
878,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,3000,SEHR STARK
879,MITTLERE REIFE,DEUTSCHLAND,580,UEBERHAUPT NICHT
880,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
881,MITTLERE REIFE,RUSSISCHE FOEDERAT.,1100,MITTEL
882,HOCHSCHULREIFE,DEUTSCHLAND,2500,STARK
883,MITTLERE REIFE,POLEN,1200,MITTEL
884,HOCHSCHULREIFE,DEUTSCHLAND,1500,STARK
885,NOCH SCHUELER,DEUTSCHLAND,KEIN EINKOMMEN,STARK
886,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,5500,MITTEL
887,MITTLERE REIFE,DEUTSCHLAND,2400,MITTEL
888,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,WENIG
889,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,STARK
890,MITTLERE REIFE,DEUTSCHLAND,2600,SEHR STARK
891,MITTLERE REIFE,DEUTSCHLAND,KEIN EINKOMMEN,STARK
892,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1000,SEHR STARK
893,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1000,WENIG
894,MITTLERE REIFE,DEUTSCHLAND,1100,STARK
895,HOCHSCHULREIFE,DEUTSCHLAND,1000,STARK
896,MITTLERE REIFE,RUMAENIEN,970,STARK
897,MITTLERE REIFE,DEUTSCHLAND,850,STARK
898,MITTLERE REIFE,DEUTSCHLAND,404,UEBERHAUPT NICHT
899,HOCHSCHULREIFE,TSCHECHOSLOWAKEI,VERWEIGERT,MITTEL
900,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2000,WENIG
901,HOCHSCHULREIFE,DEUTSCHLAND,755,SEHR STARK
902,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,860,STARK
903,"VOLKS-,HAUPTSCHULE",LITAUEN,1800,UEBERHAUPT NICHT
904,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
905,MITTLERE REIFE,DEUTSCHLAND,850,SEHR STARK
906,MITTLERE REIFE,RUMAENIEN,500,WENIG
907,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,750,WENIG
908,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,400,MITTEL
909,HOCHSCHULREIFE,DEUTSCHLAND,1100,MITTEL
910,MITTLERE REIFE,DEUTSCHLAND,1200,WENIG
911,MITTLERE REIFE,DEUTSCHLAND,2300,MITTEL
912,MITTLERE REIFE,DEUTSCHLAND,1000,MITTEL
913,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
914,FACHHOCHSCHULREIFE,KUBA,827,MITTEL
915,MITTLERE REIFE,DEUTSCHLAND,2500,MITTEL
916,HOCHSCHULREIFE,DEUTSCHLAND,2300,MITTEL
917,HOCHSCHULREIFE,DEUTSCHLAND,1100,WENIG
918,HOCHSCHULREIFE,SOWJETUNION,364,SEHR STARK
919,"VOLKS-,HAUPTSCHULE",POLEN,580,UEBERHAUPT NICHT
920,HOCHSCHULREIFE,DEUTSCHLAND,2800,MITTEL
921,MITTLERE REIFE,SOWJETUNION,2400,MITTEL
922,MITTLERE REIFE,WEISS NICHT,500,MITTEL
923,MITTLERE REIFE,DEUTSCHLAND,1700,STARK
924,HOCHSCHULREIFE,DEUTSCHLAND,550,WENIG
925,MITTLERE REIFE,DEUTSCHLAND,2100,MITTEL
926,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
927,MITTLERE REIFE,DEUTSCHLAND,1500,MITTEL
928,FACHHOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,2096,WENIG
929,HOCHSCHULREIFE,BULGARIEN,VERWEIGERT,WENIG
930,HOCHSCHULREIFE,DEUTSCHLAND,1200,STARK
931,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,WENIG
932,HOCHSCHULREIFE,DEUTSCHLAND,1300,STARK
933,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,515,WENIG
934,HOCHSCHULREIFE,TUERKEI,1200,MITTEL
935,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1200,STARK
936,"VOLKS-,HAUPTSCHULE",TUERKEI,500,WENIG
937,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
938,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1800,WENIG
939,FACHHOCHSCHULREIFE,DEUTSCHLAND,2500,STARK
940,"VOLKS-,HAUPTSCHULE",SOWJETUNION,1300,STARK
941,HOCHSCHULREIFE,DEUTSCHLAND,2400,SEHR STARK
942,MITTLERE REIFE,DEUTSCHLAND,1800,MITTEL
943,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1600,MITTEL
944,MITTLERE REIFE,DEUTSCHLAND,300,MITTEL
945,MITTLERE REIFE,SOWJETUNION,VERWEIGERT,STARK
946,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
947,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,SEHR STARK
948,MITTLERE REIFE,DEUTSCHLAND,3000,WENIG
949,FACHHOCHSCHULREIFE,DEUTSCHLAND,3300,MITTEL
950,MITTLERE REIFE,POLEN,800,MITTEL
951,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2250,MITTEL
952,MITTLERE REIFE,DEUTSCHLAND,1300,WENIG
953,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1000,MITTEL
954,HOCHSCHULREIFE,POLEN,KEIN EINKOMMEN,WENIG
955,MITTLERE REIFE,SOWJETUNION,2150,STARK
956,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2500,MITTEL
957,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,780,MITTEL
958,"VOLKS-,HAUPTSCHULE",WEISS NICHT,700,WENIG
959,MITTLERE REIFE,DEUTSCHLAND,1600,MITTEL
960,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,720,MITTEL
961,MITTLERE REIFE,PAPUA-NEUGUINEA,600,WENIG
962,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
963,HOCHSCHULREIFE,DEUTSCHLAND,4000,MITTEL
964,HOCHSCHULREIFE,DEUTSCHLAND,4600,MITTEL
965,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1200,UEBERHAUPT NICHT
966,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1300,WENIG
967,MITTLERE REIFE,DEUTSCHLAND,1400,STARK
968,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
969,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
970,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1700,MITTEL
971,"VOLKS-,HAUPTSCHULE",SOWJETUNION,285,UEBERHAUPT NICHT
972,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,STARK
973,HOCHSCHULREIFE,DEUTSCHLAND,1900,SEHR STARK
974,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
975,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1600,MITTEL
976,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
977,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,714,WENIG
978,FACHHOCHSCHULREIFE,DEUTSCHLAND,2500,SEHR STARK
979,HOCHSCHULREIFE,DEUTSCHLAND,500,MITTEL
980,HOCHSCHULREIFE,DEUTSCHLAND,450,MITTEL
981,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1500,MITTEL
982,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,STARK
983,HOCHSCHULREIFE,DEUTSCHLAND,2000,MITTEL
984,MITTLERE REIFE,POLEN,VERWEIGERT,STARK
985,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,320,MITTEL
986,HOCHSCHULREIFE,DEUTSCHLAND,1840,WENIG
987,HOCHSCHULREIFE,DEUTSCHLAND,1900,WENIG
988,OHNE ABSCHLUSS,DEUTSCHLAND,220,WENIG
989,MITTLERE REIFE,DEUTSCHLAND,820,MITTEL
990,HOCHSCHULREIFE,JUGOSLAWIEN,3400,WENIG
991,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
992,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
993,FACHHOCHSCHULREIFE,DEUTSCHLAND,300,MITTEL
994,MITTLERE REIFE,DEUTSCHLAND,950,STARK
995,HOCHSCHULREIFE,NIEDERLANDE,1900,MITTEL
996,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,700,MITTEL
997,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2300,STARK
998,HOCHSCHULREIFE,DEUTSCHLAND,2000,STARK
999,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1000,FACHHOCHSCHULREIFE,DEUTSCHLAND,300,MITTEL
1001,MITTLERE REIFE,DEUTSCHLAND,2000,MITTEL
1002,MITTLERE REIFE,DEUTSCHLAND,3300,STARK
1003,MITTLERE REIFE,DEUTSCHLAND,1500,UEBERHAUPT NICHT
1004,HOCHSCHULREIFE,DEUTSCHLAND,4000,STARK
1005,MITTLERE REIFE,WEISS NICHT,2350,MITTEL
1006,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1007,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,STARK
1008,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
1009,HOCHSCHULREIFE,DEUTSCHLAND,720,UEBERHAUPT NICHT
1010,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,615,STARK
1011,FACHHOCHSCHULREIFE,KEINE ANGABE,DATENFEHLER,WENIG
1012,MITTLERE REIFE,SOWJETUNION,900,MITTEL
1013,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1014,MITTLERE REIFE,WEISS NICHT,VERWEIGERT,STARK
1015,NOCH SCHUELER,MAROKKO,450,MITTEL
1016,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
1017,MITTLERE REIFE,DEUTSCHLAND,2400,SEHR STARK
1018,HOCHSCHULREIFE,DEUTSCHLAND,1620,MITTEL
1019,FACHHOCHSCHULREIFE,POLEN,1550,STARK
1020,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
1021,NOCH SCHUELER,DEUTSCHLAND,KEIN EINKOMMEN,STARK
1022,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,4250,SEHR STARK
1023,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
1024,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,300,MITTEL
1025,MITTLERE REIFE,DEUTSCHLAND,1400,MITTEL
1026,HOCHSCHULREIFE,POLEN,VERWEIGERT,STARK
1027,HOCHSCHULREIFE,DEUTSCHLAND,450,MITTEL
1028,MITTLERE REIFE,DEUTSCHLAND,400,MITTEL
1029,MITTLERE REIFE,DEUTSCHLAND,950,WENIG
1030,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,4000,STARK
1031,MITTLERE REIFE,DEUTSCHLAND,1650,MITTEL
1032,MITTLERE REIFE,DEUTSCHLAND,1700,MITTEL
1033,MITTLERE REIFE,DEUTSCHLAND,850,MITTEL
1034,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,MITTEL
1035,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,SEHR STARK
1036,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
1037,MITTLERE REIFE,DEUTSCHLAND,1100,MITTEL
1038,MITTLERE REIFE,DEUTSCHLAND,8000,SEHR STARK
1039,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,700,WENIG
1040,HOCHSCHULREIFE,DEUTSCHLAND,4100,SEHR STARK
1041,FACHHOCHSCHULREIFE,DEUTSCHLAND,5000,SEHR STARK
1042,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1000,WENIG
1043,HOCHSCHULREIFE,UNGARN,3000,STARK
1044,HOCHSCHULREIFE,DEUTSCHLAND,500,MITTEL
1045,MITTLERE REIFE,DEUTSCHLAND,3000,STARK
1046,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1047,FACHHOCHSCHULREIFE,DEUTSCHLAND,4000,STARK
1048,"VOLKS-,HAUPTSCHULE",TUERKEI,2000,MITTEL
1049,MITTLERE REIFE,DEUTSCHLAND,600,MITTEL
1050,MITTLERE REIFE,DEUTSCHLAND,3450,STARK
1051,MITTLERE REIFE,DEUTSCHLAND,2200,MITTEL
1052,OHNE ABSCHLUSS,DEUTSCHLAND,VERWEIGERT,UEBERHAUPT NICHT
1053,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1600,MITTEL
1054,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,3500,WENIG
1055,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,KEIN EINKOMMEN,SEHR STARK
1056,MITTLERE REIFE,DEUTSCHLAND,550,MITTEL
1057,MITTLERE REIFE,DEUTSCHLAND,2200,MITTEL
1058,MITTLERE REIFE,DEUTSCHLAND,2000,MITTEL
1059,MITTLERE REIFE,DEUTSCHLAND,1300,WENIG
1060,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,890,SEHR STARK
1061,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,900,UEBERHAUPT NICHT
1062,FACHHOCHSCHULREIFE,DEUTSCHLAND,450,MITTEL
1063,HOCHSCHULREIFE,ITALIEN,1860,STARK
1064,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
1065,MITTLERE REIFE,DEUTSCHLAND,3000,MITTEL
1066,MITTLERE REIFE,DEUTSCHLAND,560,STARK
1067,FACHHOCHSCHULREIFE,DEUTSCHLAND,3200,STARK
1068,MITTLERE REIFE,DEUTSCHLAND,1100,MITTEL
1069,MITTLERE REIFE,DEUTSCHLAND,1450,MITTEL
1070,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,300,UEBERHAUPT NICHT
1071,HOCHSCHULREIFE,DEUTSCHLAND,2600,SEHR STARK
1072,MITTLERE REIFE,DEUTSCHLAND,2600,STARK
1073,MITTLERE REIFE,DEUTSCHLAND,3000,MITTEL
1074,MITTLERE REIFE,DEUTSCHLAND,600,MITTEL
1075,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
1076,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,600,UEBERHAUPT NICHT
1077,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,MITTEL
1078,MITTLERE REIFE,DEUTSCHLAND,7500,STARK
1079,MITTLERE REIFE,DEUTSCHLAND,2000,MITTEL
1080,HOCHSCHULREIFE,DEUTSCHLAND,3300,STARK
1081,MITTLERE REIFE,DEUTSCHLAND,3000,MITTEL
1082,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,2600,WENIG
1083,FACHHOCHSCHULREIFE,DEUTSCHLAND,1100,MITTEL
1084,HOCHSCHULREIFE,DEUTSCHLAND,1500,MITTEL
1085,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1000,SEHR STARK
1086,FACHHOCHSCHULREIFE,DEUTSCHLAND,600,UEBERHAUPT NICHT
1087,MITTLERE REIFE,DEUTSCHLAND,800,MITTEL
1088,MITTLERE REIFE,DEUTSCHLAND,1200,STARK
1089,MITTLERE REIFE,DEUTSCHLAND,2000,STARK
1090,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
1091,HOCHSCHULREIFE,DEUTSCHLAND,850,WENIG
1092,HOCHSCHULREIFE,DEUTSCHLAND,590,UEBERHAUPT NICHT
1093,HOCHSCHULREIFE,DEUTSCHLAND,7500,MITTEL
1094,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,900,UEBERHAUPT NICHT
1095,MITTLERE REIFE,SOWJETUNION,700,STARK
1096,MITTLERE REIFE,DEUTSCHLAND,1590,STARK
1097,HOCHSCHULREIFE,AEGYPTEN,1900,SEHR STARK
1098,HOCHSCHULREIFE,DEUTSCHLAND,400,STARK
1099,HOCHSCHULREIFE,DEUTSCHLAND,8000,SEHR STARK
1100,HOCHSCHULREIFE,DEUTSCHLAND,800,STARK
1101,HOCHSCHULREIFE,POLEN,VERWEIGERT,STARK
1102,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1103,HOCHSCHULREIFE,DEUTSCHLAND,3600,MITTEL
1104,HOCHSCHULREIFE,DEUTSCHLAND,2000,MITTEL
