,educ,fdm01a,di01a,pa02a
196,MITTLERE REIFE,DEUTSCHLAND,1300,MITTEL
197,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,900,MITTEL
198,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
199,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,450,STARK
200,MITTLERE REIFE,JUGOSLAWIEN,2100,MITTEL
201,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
202,HOCHSCHULREIFE,DEUTSCHLAND,1500,MITTEL
203,MITTLERE REIFE,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
204,MITTLERE REIFE,TUERKEI,750,STARK
205,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,WENIG
206,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
207,HOCHSCHULREIFE,DEUTSCHLAND,400,STARK
208,MITTLERE REIFE,DEUTSCHLAND,2170,STARK
209,FACHHOCHSCHULREIFE,DEUTSCHLAND,600,MITTEL
210,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,SEHR STARK
211,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1051,SEHR STARK
212,MITTLERE REIFE,POLEN,1900,SEHR STARK
213,MITTLERE REIFE,DEUTSCHLAND,480,SEHR STARK
214,HOCHSCHULREIFE,DEUTSCHLAND,2000,MITTEL
215,HOCHSCHULREIFE,DEUTSCHLAND,4800,SEHR STARK
216,HOCHSCHULREIFE,DEUTSCHLAND,1750,SEHR STARK
217,FACHHOCHSCHULREIFE,DEUTSCHLAND,3500,SEHR STARK
218,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
219,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
220,HOCHSCHULREIFE,RUMAENIEN,KEIN EINKOMMEN,MITTEL
221,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1600,MITTEL
222,HOCHSCHULREIFE,DEUTSCHLAND,3600,STARK
223,MITTLERE REIFE,DEUTSCHLAND,320,WENIG
224,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,850,MITTEL
225,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,700,WENIG
226,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
227,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
228,HOCHSCHULREIFE,DEUTSCHLAND,1100,STARK
229,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1350,SEHR STARK
230,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
231,MITTLERE REIFE,DEUTSCHLAND,1000,MITTEL
232,MITTLERE REIFE,DEUTSCHLAND,1850,WENIG
233,MITTLERE REIFE,DEUTSCHLAND,1050,STARK
234,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,900,MITTEL
235,MITTLERE REIFE,DEUTSCHLAND,1000,WENIG
236,"VOLKS-,HAUPTSCHULE",TUERKEI,VERWEIGERT,UEBERHAUPT NICHT
237,HOCHSCHULREIFE,DEUTSCHLAND,3000,STARK
238,HOCHSCHULREIFE,DEUTSCHLAND,1500,UEBERHAUPT NICHT
239,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,900,STARK
240,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
241,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2000,STARK
242,MITTLERE REIFE,TSCHECHOSLOWAKEI,500,MITTEL
243,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,350,MITTEL
244,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
245,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,WENIG
246,MITTLERE REIFE,DEUTSCHLAND,1300,SEHR STARK
247,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2600,STARK
248,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,4300,SEHR STARK
249,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1100,MITTEL
250,MITTLERE REIFE,DEUTSCHLAND,2100,WENIG
251,MITTLERE REIFE,DEUTSCHLAND,1500,STARK
252,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,2000,WENIG
253,FACHHOCHSCHULREIFE,DEUTSCHLAND,100,MITTEL
254,MITTLERE REIFE,DEUTSCHLAND,1300,MITTEL
255,MITTLERE REIFE,DEUTSCHLAND,1200,MITTEL
256,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,KEIN EINKOMMEN,WENIG
257,FACHHOCHSCHULREIFE,DEUTSCHLAND,2259,MITTEL
258,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
259,MITTLERE REIFE,DEUTSCHLAND,1100,MITTEL
260,MITTLERE REIFE,DEUTSCHLAND,804,SEHR STARK
261,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,3300,MITTEL
262,ANDERER ABSCHLUSS,DEUTSCHLAND,668,MITTEL
263,MITTLERE REIFE,DEUTSCHLAND,640,STARK
264,OHNE ABSCHLUSS,DEUTSCHLAND,1400,UEBERHAUPT NICHT
265,HOCHSCHULREIFE,POLEN,2200,STARK
266,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
267,HOCHSCHULREIFE,DEUTSCHLAND,2400,MITTEL
268,MITTLERE REIFE,DEUTSCHLAND,5000,MITTEL
269,MITTLERE REIFE,DEUTSCHLAND,1900,MITTEL
